sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code
853,Kathmandu Metropolitan City Office,"ROAD UPGRADING WORKS AT SINAMANGAL LAND-POOLING AREA,KMC-32(RE-NOTICE)",30572100.00,Works,NCB,In-Progress,21-111-078-79-NCBW-KMC
854,Kathmandu Metropolitan City Office,"SEWER UPGRADE AND ROAD CONSTRUCTION WORKS AT NAREPHANT RAJA MANDEV MARGA,OM NAMOH MARGA AND BHAGAWAN KRIPA MARGA,KMC-32(RE-NOTICE)",3539292.50,Works,Sealed Quotation,In-Progress,27-162-078-79-SQW-KMC
855,Kathmandu Metropolitan City Office,"CONSTRUCTION OF ROAD AT JANA JAGRITI MARGA,KMC-16",16938433.80,Works,NCB,In-Progress,18-71-078-79-NCBW-KMC
856,"Kapilvastu Municipality, Office of Municipal Executive",Hulaki sadak dekhi paschim dohani swasthya chauki samma ra kacharihawa gaun ko purwa jane bato ramnaresh paswan ko ghar samma pcc purba dohani chowk dekhi bagaiha jane bato samma sadak kalopatre,2741073.95,Works,NCB,In-Progress,KM/NCB/RD/078/079-34
857,"Kapilvastu Municipality, Office of Municipal Executive",Sadak nirman jamohara khanda jamohari derwa bishwanbharpur sano sadwa khanda chaubis hajar naryan gywaliko ghar jane bato,3533424.56,Works,NCB,In-Progress,KM/NCB/RD/078/079-35
858,Kathmandu Metropolitan City Office,"ROAD MAINTENANCE AND UPGRADING WORKS AT MAALIKA MARG,KMC-14",4105336.30,Works,NCB,In-Progress,13-44-078-079-NCBW-KMC
859,"Kapilvastu Municipality, Office of Municipal Executive","Bansraj barai ko ghar dekhi unish darjiko ghar samma ,satram murao ko ghar dekhi makbulmiyako ghari samma,prahalad muroko ghar dekhi makbulmiyako ghar sammko sadak pcc dhalan ra ghirao pasiko ghar dek",1660491.84,Works,NCB,In-Progress,KM/NCB/BDG/078/079-42
860,"Kapilvastu Municipality, Office of Municipal Executive",Shree Ram Janki Adharbhut Vidhyalaya KMNP-02 Semarahawa,2327692.26,Works,NCB,In-Progress,KM/NCB/BDG/078/079-43
861,Kathmandu Metropolitan City Office,"CONSTRUCTION OF PARK AT BAKOT HILL,CHABAHIL,KMC-07",3612302.90,Works,NCB,In-Progress,19-77-078-79-NCBW-KMC
862,Kathmandu Metropolitan City Office,"ROAD MAINTENANCE AND UPGRADING WORKS AT JAGATSUNDAR MARG,KUSUMBIYALACHI,KMC-25",4706496.50,Works,NCB,In-Progress,19-75-078-079-NCBW-KMC
863,Kathmandu Metropolitan City Office,"ROAD CONSTRUCTION WORK AT JODAL ANNAPURNA CHOWK TO BANASTHALI ROAD,KMC-15",4495655.40,Works,NCB,In-Progress,14-55-077-78-NCBW-KMC
864,"Kapilvastu Municipality, Office of Municipal Executive",Upgrading of Piparahawa Bithuwa Sauraha Road,41682495.10,Works,NCB,In-Progress,KM/RD/077/078-53
865,Kathmandu Metropolitan City Office,"SEWER AND ROAD CONSTRUCTION WORK AT KUMARIGAL BIJAYA MARG,KMC-13",4101848.50,Works,NCB,In-Progress,13-52-078-79-NCBW-KMC
866,"Kapilvastu Municipality, Office of Municipal Executive",Upgrading of Reshoin Shanti Bihar Tilaurakot Paschim Gate Aurahiya Road,27107906.11,Works,NCB,In-Progress,KM/RD/077/078-54
867,Kathmandu Metropolitan City Office,"SEWER AND ROAD CONSTRUCTION WORKS AT NAAYAPACHO MARG,KMC-21",6043056.50,Works,NCB,In-Progress,13-50-078-079-NCBW-KMC
868,Kathmandu Metropolitan City Office,"ROAD UPGRADING WORK AT FULBARI DHUNGEDHARA,SANTI TOLE AND SAIRAM MARGA, KMC-32",6505555.80,Works,NCB,In-Progress,15-60-078-79-NCBW-KMC
869,Kathmandu Metropolitan City Office,"ROAD AND SEWERAGE CONSTRUCTION WORK AT GHATTEKULO CHOWK- DHAMALA DAIRY- PATHIBHARA MARG- CHANDAN MARG, KMC-29",11376851.85,Works,NCB,In-Progress,19-78-078-79-NCBW-KMC
870,"Kapilvastu Municipality, Office of Municipal Executive","CONSTRUCTION OF GATE AT JUNCTION OF JEETPUR TAULIHAWA ROAD AND GORUSINGHE TAULIHAWA ROAD (VIKCHU CHOWK), KAPILVASTU",8288056.55,Works,NCB,In-Progress,KM/GATE/077/078-84
871,Kathmandu Metropolitan City Office,"ROAD UPGRADING WORKS AT DALLU AWASH,KMC-15",12842004.50,Works,NCB,In-Progress,17-66-078-079-NCBW-KMC
872,Kathmandu Metropolitan City Office,"SEWER AND BLOCK PAVING WORKS AT SHREE NAGAR TOLE,MHEPI MARG,KMC-16(RE-NOTICE)",2911971.16,Works,Sealed Quotation,In-Progress,21-115-078-79-SQW-KMC
873,Kathmandu Metropolitan City Office,RCC ROAD CONSTRUCTION AND BLOCK PAVING WORKS AT  DORA CANAL MARGA KO SAKHA BATO KHARIBOT BANASTHALI AND UTTAR MARGA MHEPI AT KMC-16,2479217.00,Works,Sealed Quotation,In-Progress,21-110-078-79-SQW-KMC
874,Kathmandu Metropolitan City Office,"SEWER AND ROAD MAINTENANCE WORK AT SAHAMATIMAGA,KMC-2",3886930.70,Works,NCB,In-Progress,15-62-078-079-NCBW-KMC
875,Kathmandu Metropolitan City Office,"BLOCK PAVING WORKS AT NEPAL CHILDREN'S ORGANIZATION(BALMANDIR SCHOOL),KMC-1",1984335.00,Works,Sealed Quotation,In-Progress,21-109-078-79-SQW-KMC
876,Kathmandu Metropolitan City Office,"R.C.C ROAD CONSTRUCTION WORKS AT KULESWOR MAHADEV TEMPLE TO NAYA POOL, KULESWOR, KMC-14",6324363.50,Works,NCB,In-Progress,19-74-078-79-NCBW-KMC
877,Kathmandu Metropolitan City Office,ROAD CONSTRUCTION WORKS AT JANAHIT MARGA KMC-16 (RE-NOTICE),3660124.50,Works,Sealed Quotation,In-Progress,27-164-078-79-SQW-KMC
878,Kathmandu Metropolitan City Office,MAINTENANCE AND UPGRADING OF PANCHA KUMARI COVERED HALL AT KMC-09 (RE-NOTICE),1529079.10,Works,Sealed Quotation,In-Progress,27-160-078-79SQW-KMC
879,Bharatpur Metropolitian City Office,"Mathillo Bhorle Krishi Sadak Nirmaan, BMC-29",1223533.73,Works,Sealed Quotation,Completed,RE-38-BMC/2078/079/W/SQ/104
880,Kathmandu Metropolitan City Office,ROAD CONSTRUCTION WORKS AT PRAYAG MARG NEAR KHUMBILA HOTEL AT KMC-09 (RE-NOTICE),3698565.00,Works,Sealed Quotation,In-Progress,19-79-078-79-SQW-KMC
881,Kathmandu Metropolitan City Office,"ROAD UPGRADING WORK AT KSITIZ MARG,MINBHAWAN MARG AND ANNAPURNA GALLI,KMC-31",8187221.20,Works,NCB,In-Progress,14-57-077-078-NCBW-KMC
882,Kathmandu Metropolitan City Office,"ROAD CONSTRUCTION WORK AT CHALCHA MARG BAHITI TO SANTI NAGAR, KMC-15",8046249.00,Works,NCB,In-Progress,12-42-078-079-079-NCBG-KMC
883,Kathmandu Metropolitan City Office,"ROAD CONSTRUCTION WORK AT BAJRESWORI MARG, KMC-9 (RE-NOTICE)",3511970.00,Works,Sealed Quotation,In-Progress,21-113-078-79-SQW-KMC
884,Kathmandu Metropolitan City Office,"ROAD MAINTENANCE AND UPGRADING WORKS AT NURSERY MARGA,KMC-2",3001023.00,Works,NCB,In-Progress,15-59-078-079-NCBW-KMC
885,Kathmandu Metropolitan City Office,"ROAD CONSTRUCTION WORKS AT SATYA,BASAHA,SAMMELAN AND HARIYALI BASTI MARG,KMC-16",6371013.60,Works,NCB,In-Progress,20-89-078-79-NCBW-KMC
886,Kathmandu Metropolitan City Office,SUPPLY AND DELIVERY OF PESTICIDES AT KMC,5259870.00,Goods,NCB,In-Progress,24-142-078-79-NCBG-KMC
887,Kathmandu Metropolitan City Office,SUPPLY AND DELIVERY OF ELECTRIC STOVES AT KMC,8536500.00,Goods,NCB,In-Progress,21-101-078-79-NCBG-KMC
888,Kathmandu Metropolitan City Office,"BUIDING MAINTENANCE AND REPAIR WORK AT BUDDHANAGAR AADHARBHUT SCHOOL,KMC-10 (RE-NOTICE)",1494444.40,Works,Sealed Quotation,In-Progress,21-112-078-79-SQW-KMC
889,Kathmandu Metropolitan City Office,"RANIBARI PORPA AJIMA PARK CONSTRUCTION WORKS, KMC-03",1461979.50,Works,Sealed Quotation,In-Progress,19-81-078-79-SQW-KMC
890,Kathmandu Metropolitan City Office,ROAD MAINTENANCE AND UPGRADING WORKS AT CHANDRAMUKHI MARGA KMC-4 (RE-NOTICE),2660848.00,Works,Sealed Quotation,In-Progress,27-163-078-79-SQW-KMC
891,Kathmandu Metropolitan City Office,SUPPLY AND DELIVERY OF PCR AND ANTIGEN TEST RELATED MATERIALS AT KMC,1469500.00,Goods,NCB,In-Progress,21-100-078-79-NCBG-KMC
892,Kathmandu Metropolitan City Office,SUPPLY AND DELIVERY OF DRINKING WATER AT KMC,1972500.00,Goods,NCB,In-Progress,21-99-078-79-NCBG-KMC
893,Kathmandu Metropolitan City Office,SUPPLYING AND DELIVERY OF MISCELLANEOUS GOODS AT KMC,391209.00,Goods,Sealed Quotation,In-Progress,20-91-078-79-SQG-KMC
894,Kathmandu Metropolitan City Office,SUPPLY AND DELIVERY OF MEDICINE AND MEDICAL GOODS AT KMC,11168040.00,Goods,NCB,In-Progress,26-158-078-079-NCBG-KMC
895,Kathmandu Metropolitan City Office,SUPPLY AND DELIVERY OF LEAF SPRING AND OTHER MAINTENANCE WORKS FOR HEAVY VEHICLES AT KMC (RE-nOTICE),1758700.00,Goods,Sealed Quotation,In-Progress,25-154-078-79-SQG-KMC
896,208 Road Division Lalitpur,Road Improvement & extension works  Imadol Police station-Wochu sitapakha-1 number dhara-Morepati -koji home Kamalpokhari,6352581.33,Works,NCB,In-Progress,DROLTP/33701120-4/076/77-067
897,208 Road Division Lalitpur,"Periodic maintenance works, Mangal Bazar-Kumaripati, Iti Pragpokhari Road",8098355.74,Works,NCB,In-Progress,DROLTP/3371653/072/073-008
898,Kathmandu Metropolitan City Office,CONSTRUCTION OF KAMPUKOT PATI AT KMC-24,1699527.50,Works,Sealed Quotation,In-Progress,23-118-078-79-SQW-KMC
899,Kathmandu Metropolitan City Office,RECONSTRUCTION OF MARU FALCHA AT KMC-19,2121232.40,Works,Sealed Quotation,In-Progress,23-126-078-79-SQW-KMC
900,Kathmandu Metropolitan City Office,"RECONSTRUCTION OF DHALASIKWO BAHA,KWA PA DYO CHHEN,KMC-27",6341587.80,Works,NCB,In-Progress,20-94-078-79-NCBW-KMC
901,Kathmandu Metropolitan City Office,"RECONSTRUCTION OF CHA BAHA: (KARNAKETU MAHAVIHAR) DYO CHHEN,KMC-25",7077584.20,Works,NCB,In-Progress,20-95-078-79-NCBW-KMC
902,Kathmandu Metropolitan City Office,"RECONSTRUCTION OF RATNAKETU MAHAVIHAR, KWA PA DYO CHHEN, KMC-25",9143309.42,Works,NCB,In-Progress,24-144-078-79-NCBW-KMC
903,Kathmandu Metropolitan City Office,"SEWER CONSTRUCTION WORKS AT JODAL,KMC-15",13383420.00,Works,NCB,In-Progress,18-70-078-79-NCBW-KMC
904,208 Road Division Lalitpur,Road Extention Works in Rato Pool of Godawari River to Balkumari Balkot Road.,1887369.80,Works,NCB,In-Progress,DROLTP/33701120-4/077/78-018
905,208 Road Division Lalitpur,Road Extention Works in Siddheswor-Anuli Rajkulo Road.,2424877.44,Works,NCB,In-Progress,DROLTP/33701120-4/077/78-019
906,208 Road Division Lalitpur,"Road Surface Imorivement and Upgrading of Rastrapati Marga – Malpokhari – Dhobighat Road, Lalitpur",2261258.91,Works,NCB,In-Progress,DROLTP/33701120-4/077/078-039
907,208 Road Division Lalitpur,"Recurrent Maintenance Works along Lubhu Sallaghari Road., Lalitpur",2952095.50,Works,NCB,In-Progress,DROLTP/33731011-3/077/078-040
908,208 Road Division Lalitpur,"Specific Maintenance of Road of Hattiban Godawari Area, Dhobighat-Pulchowk Bhanimandal Road.",2907271.31,Works,NCB,In-Progress,DROLTP/33731011-3/077/078-044
909,208 Road Division Lalitpur,Specific Maintenance Works (Footpath Maintenance) at Different Chainage of Road of Lalitpur District.,6956258.36,Works,NCB,In-Progress,DROLTP/33731011-3/077/078-049
910,208 Road Division Lalitpur,"Road Extension Works along Kusunti Bistapakha ( Sugam Margha),lalitpur",10015378.23,Works,NCB,In-Progress,DROLTP/33701120-4/077/078/068 
911,208 Road Division Lalitpur,Periodic Maintenance along Balkhu-Bagdol Road(Pacakage 2) Lalitpur,7064265.57,Works,NCB,In-Progress,DROLTP/33731011-3/077/078-052
912,"Rapti Rural Minicipality, Dang",Construction Of Dolai Khola-Paharuwa-Kalapani Road,8005021.33,Works,NCB,Completed,RRM/NCB/ROAD/W/13/2078/079
913,"Rapti Rural Minicipality, Dang",Construction Of RCC Box Culvert along devikot road at Sungure Khola,5914944.84,Works,NCB,In-Progress,RRM/NCB/W/29/2078/079
914,"Urban Development and Building Office, Kaski, Gandaki Province","Construction of Various Infrastructures &amp; Landscaping Works at Mahendra Cave, Pokhara-16",85893818.38,Works,NCB,In-Progress,UDBOKASKI/NCB/W/11/2078/079
915,Kathmandu Metropolitan City Office,BLACKTOP PAVEMENT WORKS AT JANASAHAYOG MARGA AND EKTA MARGA AT KMC-31,15446544.60,Works,NCB,In-Progress,29-175-078-79-NCBW-KMC
916,Kathmandu Metropolitan City Office,CONSTRUCTION OF FOOTPATH FROM GAUSALA TO OLD BANESHWOR AT KMC-9,19193549.68,Works,NCB,In-Progress,24-140-078-79-NCBW-KMC
917,Kathmandu Metropolitan City Office,ROAD CONSTRUCTION WORKS AT VARIOUS PLACES OF KMC-26,18780328.50,Works,NCB,In-Progress,24-138-078-79-NCBW-KMC
918,Kathmandu Metropolitan City Office,BALAJU BAISDHARA PARK DEVELOPMENT AND SWIMMING POOL RECONSTRUCTION WORKS,59779221.60,Works,NCB,In-Progress,24-141-078-79-NCBW-KMC
919,208 Road Division Lalitpur,"Premix Carpeting Work in MotiRajkulo-Mahalaxmi-5,Moteshwor, Lalitpur",840239.77,Works,NCB,In-Progress,DROLTP/33701120-4/077/78-037(Re)
920,Kathmandu Metropolitan City Office,"BRICK PAVING WORKS AT ALKA MARG,GAAI BACHHA CHOWK KMC-13 (RE-NOTICE)",3280846.50,Works,Sealed Quotation,In-Progress,30-193-078-79-SQW-KMC
921,Kathmandu Metropolitan City Office,"REHABILITATION OF BALMANDIR BUILDING AT SIPHAL,KMC",7549561.00,Works,NCB,In-Progress,24-149-078-79-NCBW-KMC
922,DRO Shivapur,"Pawora-Pipara-Chakadchauda Road, Kapilvastu (10.5km)",129860623.15,Works,NCB,In-Progress,RDSPR/337011764/078/79/018
923,DRO Shivapur,Landslide Protection Works on Mahendra Rajmarg. Dhankhola Section (Ch 659+000 to 675+000,6955825.50,Works,NCB,Completed,RDSPR/3373101384/078/79/026
924,DRO Shivapur,"Construction of Blacktop Road with cross and side Drainage works on Krishnanagar-Sirsihawa-Balanagar-Laalpur-Jhulaniya-Choraha, Kapilvatu.",176882496.26,Works,NCB,In-Progress,RDSPR/337011764/078/79/027
925,DRO Shivapur,"Construction of Blacktop Road with Cross and Side Drainage Works on Mojdpur - Suntanwapur - Belashpur - Sihakhor - Kopawash, Kapilvastu",179635284.47,Works,NCB,In-Progress,RDSPR/337011764/078/79/028
926,DRO Shivapur,"Black Top Works on Pachera Bargdwa Uchadiwa Kothi Nadi Antargat Bargdwa Bankatwa Road, Kapilvastu",2865390.26,Works,NCB,In-Progress,RDSPR/337011694/078/79/029
927,DRO Shivapur,"Black Top and Drain Works on Buddhabhumi Nagarpalika 10 Bich Gauri Chock To Maharajgang Nagarpalika 1 Road, Kapilvastu",5370587.82,Works,NCB,In-Progress,RDSPR/337011694/078/79/030
928,DRO Shivapur,Landslide Protection Works at CH 20+250 - CH 21+800 along Gorusinge-Sandhikharka Section,6904228.32,Works,NCB,In-Progress,RDSPR/3373101134/078/79/31
929,208 Road Division Lalitpur,Periodic Maintenance of Gwarko-Lakuribhanjhyang-Mane Dovan Road,29561672.12,Works,NCB,In-Progress,DROLTP/33731011-3/077/078-030
930,DRO Shivapur,"Improvement of Road by Construction of Roadway Structures, Cross &Side Drain works, Blacktop Works, Earthworks and Miscellaneous works at Vikramsota - Damar - Mandre - Supakhola - Khachikot - nuwakot",206763422.40,Works,NCB,In-Progress,RDSPR/337011764/078/79/032
931,208 Road Division Lalitpur,Periodic Maintenance of Balkhu-Bagdol Road.,14011714.28,Works,NCB,In-Progress,DROLTP/33731011-3/077/078-028
932,DRO Shivapur,Improvement of Road by Construction of Gabion Structure,1576350.00,Works,NCB,Completed,RDSPR/337077384/078/79/033
933,208 Road Division Lalitpur,Periodic Maintenance of Chapagau-Bajrabarahi-Santaneshwor Road.,15890074.61,Works,NCB,In-Progress,DROLTP/33731011-3/077/078-027
934,DRO Shivapur,"Reactive Maintenance Works on Gorusinge-Sandhikharka Road at Chakla-Bhuwanpata (CH 30+000-43+000), Arghakhanchi",8367587.16,Works,NCB,In-Progress,RDSPR/3373101134/078/79/034
935,DRO Shivapur,"Reactive Maintenance Works on Gorusinge-Sandhikharka Road at Bhuwanpata-Dahakhola (CH 43+000-58+000), Arghakhanchi",8258999.25,Works,NCB,In-Progress,RDSPR/3373101134/078/79/035
936,DRO Shivapur,Reactive Maintenance Works on MRM (Gorusinghe Bazar (CH. 634+000)-Dhan Khola (CH. 675+000) section).,8906115.10,Works,NCB,Completed,RDSPR/3373101134/078/79/036
937,"Tokha Municipality, Office of the Municipal Executive","Shivapuri Khanepani Nirman, ward-02",3927264.45,Works,NCB,In-Progress,43/NCB/TM/W/2078-79
938,DRO Shivapur,"Reactive Maintenance works along Jitpur-Taulihawa-Khunuwa NH50 Road and Paththarkot Gorusinghe-Taulihawa NH51 Road, Kapilvastu",2765330.91,Works,NCB,In-Progress,RDSPR/3373101134/078/79/038
939,DRO Shivapur,"Reactive Maintenance work on MRM at Kothi-Dhankhola Section, Kapilvastu",2665802.77,Works,NCB,In-Progress,RDSPR/3373101134/078/79/039
940,DRO Shivapur,"Reactive Maintenance works on Paththarkot to Sandhikharka Section (Ch 11+000-68+000) along Gorusinghe-Sandhikharka Road, Arghakhanchi",14970298.64,Works,NCB,In-Progress,RDSPR/3373101134/078/79/040
941,"Tokha Municipality, Office of the Municipal Executive","Chandesori Ma.Bi. Bhawan Nirman, ward-02",1973602.20,Works,NCB,In-Progress,44/NCB/TM/W/2078-79
942,DRO Shivapur,"Upgrading & Improvement works at Paththarkot - Fudband Section (Ch 11+000-65+000) along Gorusinghe - Sandhikharka Road, Arghakhanchi",22710421.51,Works,NCB,In-Progress,RDSPR/33711384/078/79/041
943,Kathmandu Metropolitan City Office,SUPPLY AND DELIVERY OF DESKTOP COMPUTER AND PRINTER AT KMC,1051200.00,Goods,Sealed Quotation,In-Progress,29-174-078-79-SQG-KMC
944,"Tokha Municipality, Office of the Municipal Executive","Construction of Hall and Fininshing works at Tilingtar Ma.Bi. Block B, ward-07",7700686.65,Works,NCB,In-Progress,45/NCB/TM/W/2078-79
945,"Tokha Municipality, Office of the Municipal Executive",Villi-Panchetar-Iko-Bakhundol Road upgrade ward 02 & 03 (Phase 02),5888756.00,Works,NCB,Completed,50/NCB/TM/W/2078-79
946,"Tokha Municipality, Office of the Municipal Executive",Samudayak Bhawan Mahadevtarko istarunati tatha talla thap ward-11,2168850.90,Works,NCB,Completed,53/NCB/TM/W/2078-79
947,Kathmandu Metropolitan City Office,SUPPLY AND DELIVERY OF DIFFERENT AUTOMOTIVE BATTERIES AT KMC,2736000.00,Goods,NCB,In-Progress,23-122-078-79-NCBG-KMC
948,Kathmandu Metropolitan City Office,SUPPLY AND DELIVERY OF MISCELLANEOUS GOODS FOR SANITATION WORKERS AT KMC,2585500.00,Goods,NCB,In-Progress,23-121-078-79-NCBG-KMC
949,208 Road Division Lalitpur,"Road Safety Works (Installation of Deblineators post and Traffic sign post) at Lakuri-Manedovan, Godawari-Pulchowk & Champi-Tikabhairav Road, Lalitpur",1524285.00,Works,NCB,In-Progress,DROLTP/33701136-4/077/78-056
950,Lamahi Town Development Committee,Black Top Road,22488618.00,Works,NCB,Completed,MOUD/LTDC/NCB/Work/20?078/79
951,Lamahi Town Development Committee,Footpath Road Construction,7291506.01,Works,NCB,Completed,MOUD/LTDC/NCB/Work/19/2078/79
952,Lamahi Town Development Committee,Terminal building construction,73149540.91,Works,NCB,In-Progress,MOUD/LAMAHI/TDC/NCB/Work/08/078/79
953,"Rapti Rural Minicipality, Dang",Construction of ward no 4 office building,9982279.06,Works,NCB,In-Progress,RRM/NCB/W/01/2078/079
954,"Rapti Rural Minicipality, Dang",Costruction Of Rapti Ring Road (Sisahaniya Milan chowk-Basantapur section),41787840.45,Works,NCB,In-Progress,RRM/NCB/ROAD/W/12/2078/079
955,"Rapti Rural Minicipality, Dang",Construction Of Pipari Khola Bridge along Kohaluwa Judpani road,32933313.76,Works,NCB,In-Progress,RRM/NCB/BRIDGE/W/28/2078/079
956,DRO Shivapur,"Periodic Maintenance works on Patharkot-Chakla & Ghumti-Sandhikharka Section along Gorusinge sandhikharka Road, Arghakhanchi",2604054.49,Works,NCB,In-Progress,RDSPR/3373101134/078/79/042 Re
957,DRO Shivapur,"Road Improvement Works at Fudbang-Sandhikharka Section (Ch 65+000 - 69+000) along Gorusinghe-Sandhikharka Road NH51, Arghakhanchi",28193282.32,Works,NCB,In-Progress,RDSPR/337011384/078/79/043
958,DRO Shivapur,"Road Improvement Works at Pirapani-Narpani Section (Ch 14+000 - 50+000) along Gorusinghe-Sandhikharka Road NH51, Arghakhanchi",46303922.71,Works,NCB,In-Progress,RDSPR/337011384/078/79/044
